,RANK,Team,CONFERENCE,DIVISION,WIN,LOSS,W/L%,MARGIN,OFFR,DEFR,NETR,MOV/A,ORtg/A,DRtg/A,NRtg/A
2016,23,Milwaukee Bucks,E,C,33,49,0.402,-4.18,105.06,109.65,-4.59,-3.98,105.32,109.69,-4.37
2016,24,New York Knicks,E,A,32,50,0.39,-2.73,105.41,108.43,-3.03,-2.73,105.55,108.58,-3.02
2016,25,New Orleans Pelicans,W,SW,30,52,0.366,-3.79,106.27,110.17,-3.89,-3.55,106.32,109.96,-3.63
2016,26,Minnesota Timberwolves,W,NW,29,53,0.354,-3.54,107.17,111.02,-3.86,-3.38,107.17,110.86,-3.68
2016,27,Phoenix Suns,W,P,23,59,0.28,-6.66,102.94,109.8,-6.86,-6.32,102.95,109.45,-6.5
2016,28,Brooklyn Nets,E,A,21,61,0.256,-7.35,103.74,111.6,-7.86,-7.11,104.06,111.66,-7.61
2016,29,Los Angeles Lakers,W,P,17,65,0.207,-9.56,102.29,112.4,-10.12,-8.92,102.49,111.92,-9.43
2016,30,Philadelphia 76ers,E,A,10,72,0.122,-10.23,99.65,110.15,-10.5,-9.92,99.83,110.01,-10.18
2015,1,Golden State Warriors,W,P,67,15,0.817,10.1,112.18,101.86,10.32,10.01,111.9,101.67,10.23
2015,2,Los Angeles Clippers,W,P,56,26,0.683,6.59,113.21,106.22,6.98,6.8,113.35,106.14,7.21
2015,3,San Antonio Spurs,W,SW,55,27,0.671,6.2,109.25,102.61,6.64,6.34,109.09,102.3,6.79
2015,4,Atlanta Hawks,E,SE,60,22,0.732,5.43,110,103.98,6.02,4.75,109.85,104.56,5.29
2015,5,Portland Trail Blazers,W,NW,51,31,0.622,4.23,108.81,104.3,4.5,4.41,108.72,104.03,4.69
2015,6,Cleveland Cavaliers,E,C,53,29,0.646,4.48,111.93,107.13,4.8,4.08,111.97,107.58,4.39
2015,7,Houston Rockets,W,SW,56,26,0.683,3.44,107.87,104.26,3.61,3.82,107.86,103.85,4.01
2015,8,Memphis Grizzlies,W,SW,55,27,0.671,3.24,106.44,102.9,3.55,3.62,106.35,102.41,3.94
2015,9,Dallas Mavericks,W,SW,50,32,0.61,2.9,110.3,107.14,3.16,3.36,110.51,106.87,3.64
2015,10,Chicago Bulls,E,C,50,32,0.61,3,108.48,105.11,3.37,2.54,108.42,105.53,2.88
2015,11,Toronto Raptors,E,A,49,33,0.598,3.07,112.06,108.69,3.37,2.45,112.07,109.35,2.72
2015,12,Oklahoma City Thunder,W,NW,45,37,0.549,2.18,108.41,106.18,2.24,2.47,108.42,105.89,2.54
2015,13,New Orleans Pelicans,W,SW,45,37,0.549,0.79,108.95,108.15,0.8,1.13,109.04,107.88,1.16
